day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Monday,Morning,cendrawasih,mariso,TL,R2,R2,-5.155219,119.4137008
Tuesday,Evening,mesjid muhajirin,panakkukang,TL,R2,R2,-5.1395108,119.4344078
Thursday,Night,veteran selatan,mamajang,TK,R4,R4,-5.1582605,119.423168
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Wednesday,Afternoon,insinyur sutami,biringkanaya,T,R2,NOV,-5.0682302,119.5245258
Thursday,Morning,kapasa raya,biringkanaya,T,R2,NOV,-5.1128231,119.5115767
Thursday,Afternoon,daeng tata raya,tamalate,T,R2,NOV,-5.1850019,119.423432
Tuesday,Afternoon,raya kampus unhas,tamalanrea,TK,R2,R2,-5.1306817,119.4908747
Friday,Morning,metro tanjung bunga,tamalate,TK,R3,R4,-5.1661576,119.3917443
Friday,Evening,pettarani,rappocini,TK,R2,R2,-5.1521953,119.4374749
Friday,Night,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Saturday,Night,gunung bawakaraeng,bontoala,TL,R2,NOV,-5.1350674,119.4278646
Saturday,Night,gunung bawakaraeng,bontoala,TK,R2,R4,-5.1350674,119.4278646
Thursday,Evening,kima iii,biringkanaya,T,R2,NOV,-5.1053107,119.4977425
Friday,Night,metro tanjung bunga,tamalate,T,R2,NOV,-5.1661576,119.3917443
Sunday,Night,urip sumuharjo,panakkukang,TK,R4,R2,-5.1348243,119.4316818
Saturday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Morning,andi mappaodang,tamalate,OC,R2,NOV,-5.1732205,119.4158686
Sunday,Evening,dg. regge,tallo,TL,R2,R2,-5.1249038,119.4325008
Monday,Night,pettarani,rappocini,TK,B2,R2,-5.1521953,119.4374749
Sunday,Evening,andi tonro,tamalate,TL,R4,R4,-5.1725621,119.4203633
Saturday,Afternoon,sultan alauddin,tamalate,TK,R4,R2,-5.1682367,119.4209823
Saturday,Morning,dokter leimena,panakkukang,TK,R4,R2,-5.1499481,119.4710365
Saturday,Morning,nipa nipa,manggala,TK,R4,R2,-5.1624042,119.5001015
Friday,Evening,abdullah daeng sirua,panakkukang,TL,R2,R2,-5.1502262,119.4624701
Saturday,Evening,sunu,tallo,OC,R2,NOV,-5.1247334,119.4296097
Thursday,Morning,andi mappaodang,tamalate,OC,R4,NOV,-5.1732205,119.4158686
Tuesday,Afternoon,metro tanjung bunga,tamalate,TL,R4,R4,-5.1661576,119.3917443
Monday,Afternoon,datuk ditiro,tallo,TL,R2,R4,-5.1272385,119.431099
Monday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Thursday,Night,insinyur sutami,biringkanaya,TL,R4,NOV,-5.0682302,119.5245258
Monday,Morning,jenderal sudirman,ujung pandang,TK,R2,R2,-5.1330957,119.4136579
Monday,Morning,adyaksa,panakkukang,TL,R4,R2,-5.1596882,119.4473728
Monday,Evening,bakung,biringkanaya,OC,R2,NOV,-5.0863643,119.5291411
Wednesday,Afternoon,janggo paropo,panakkukang,TK,R2,R2,-5.1492387,119.4589298
Tuesday,Night,sungai saddang,makassar,T,R2,NOV,-5.146825,119.4249085
